Variable Names,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
i_am_going_to_put_3_stickers_on_your_chest,I am going to put 3 stickers on your chest.,Voy a poner 3 pegatinas en su pecho.,Vou colocar três adesivos no seu peito.,Tôi sẽ dán 3 miếng dán lên ngực quý vị.,Je vais mettre 3 autocollants sur la poitrine.,가슴에 스티커 3개를 붙이겠습니다.,በደረትዎ ላይ 3 ተለጣፊዎችን ላስቀምጥ ነው።,သင့်ရင်ဘတ်မှာ စတစ်ကာ 3 ခု ကပ်ပါမယ်။,سأضع ثلاث لاصقات على صدرك.,我会在你的胸前贴上3个贴片。
i_am_going_to_connect_wires_to_the_stickers,I am going to connect wires to the stickers.,Voy a conectar cables a las pegatinas.,Vou conectar os fios aos adesivos.,Tôi sẽ kết nối dây với miếng dán.,Je vais connecter des fils aux autocollants.,스티커에 와이어를 연결하겠습니다.,ገመዶችን ከተለጣፊዎች ጋር ላገናኝ ነው።,စတစ်ကာတွေကို ဝါယာကြိုးတွေ တပ်ပါမယ်။,سأقوم بتوصيل الأسلاك باللاصقات.,我要将导线连接至贴片。
please_lay_down_on_the_table,Please lay down on the table.,Por favor túmbese en la mesa.,Deite-se na maca.,Vui lòng nằm xuống bàn.,Veuillez-vous allonger sur la table.,테이블 위에 누우십시오.,እባክዎ ጠረጴዛው ላይ ይተኙ።,ကျေးဇူးပြုပြီး စားပွဲပေါ်လှဲအိပ်ပါ။,يُرجى الاستلقاء على الطاولة.,请趴在桌子上。
medicine_will_make_you_sleep,This medicine will make you sleep.,Este medicamento le hará dormirse.,O medicamento vai fazer você dormir.,Thuốc này sẽ làm quý vị buồn ngủ.,Ce médicament vous fera dormir.,이 약은 잠들게 해줍니다.,ይህ መድሃኒት እንቅልፍ እንዲተኙ ያደርግዎታል።,ဒီဆေးက သင့်ကို အိပ်ပျော်စေပါလိမ့်မယ်။,هذا الدواء سوف يجعلك تنام.,这种药会让您入睡。
stay_in_bed,Stay in the bed.,Por favor quédese en cama.,Fique na cama.,Hãy tiếp tục ở trên giường.,Restez dans le lit.,침대에 있으십시오.,አልጋው ላይ ይቆዩ።,အိပ်ရာထဲမှာနေပါ။,ابق في السرير.,请待在床上。
giving_tylenol,I'm giving Tylenol.,Voy a darle paracetamol.,Estou dando Tylenol.,Tôi đang cho dùng thuốc Tylenol.,Je donne du Tylenol.,타이레놀을 드리겠습니다.,ታይሊኖል እየሰጠሁ ነው።,ကျွန်ုပ် အနာသက်သာအဖျားကျဆေး Tylenol ပေးနေပါတယ်။,أنا أعطي دواء تايلينول.,我正在给患者吃泰诺。
giving_ubiprofen,I'm giving ibuprofen.,Voy a darle ibuprofeno.,Estou dando ibuprofeno.,Tôi đang cho dùng thuốc ibuprofen.,Je donne de l'ibuprofène.,이부로펜을 드리겠습니다.,አይቡፕሮፌን እየሰጠሁ ነው።,ကျွန်ုပ် အကိုက်ခဲပျောက်ဆေး ibuprofen ပေးနေပါတယ်။,أنا أعطي دواء ايبوبروفين.,我正在给患者吃布洛芬。
do_you_need_an_interpreter,Do you need an interpreter?,¿Necesita un intérprete?,Precisa de intérprete?,Quý vị có cần thông dịch viên không?,Avez-vous besoin d'un interprète?,통역사가 필요하십니까?,አስተርጓሚ ይፈልጋሉ?,စကားပြန်လိုပါသလား?,هل تحتاج إلى مترجم شفوي؟,您是否需要口译员？
has_the_doctor_called_you_today_with_an_update_on_your_baby,Has the doctor called you today with an update on your baby?,¿Ha llamado el médico hoy con alguna novedad sobre su bebé?,O médico ligou hoje para saber como está o bebê?,Hôm nay bác sĩ có gọi cho quý vị để thông báo tin tức về con quý vị không?,Le docteur vous a-t-il appelé(e) aujourd'hui pour vous donner des nouvelles de votre bébé?,오늘 의사가 아기에 관한 소식을 알려줬습니까?,ስለ ልጅዎ ወቅታዊ መረጃ ዶክተሩ ዛሬ ደውሎልዎታል?,သင့်ကလေးရဲ့ နောက်ဆုံးအခြေအနေပြောရန် ဆရာဝန်က ဒီနေ့ သင့်ကို ဖုန်းဆက်ပြီးပြီလား။,هل اتصل بك الطبيب اليوم لإبلاغك بآخر مستجدات حالة طفلك؟,医生今天是否有向您致电，告知宝宝的最新情况？
do_you_have_any_questions,Do you have any questions?,¿Tiene alguna pregunta?,Alguma pergunta?,Quý vị có điều gì thắc mắc không?,Avez-vous des questions?,질문이 있으십니까?,ማንኛውም ዓይነት ጥያቄዎች አልዎት?,သင့်တွင် မေးခွန်းများ ရှိပါသလား။,هل لديك أسئلة؟,您有什么需要解答的问题吗？
do_you_want_to_speak_with_a_lactation_consultant_or_nurse,Do you want to speak with a lactation consultant (or nurse)?,¿Quiere hablar con una consultora de lactancia (o enfermera)?,Quer falar com a consultoria de lactação (ou a enfermagem)?,Quý vị có muốn nói chuyện với chuyên viên tư vấn (hoặc y tá) về nuôi con bằng sữa mẹ không?,Souhaitez-vous parler avec une consultante en lactation (ou une infirmière)?,수유 상담사 또는 간호사와 얘기하고 싶으십니까?,ከጡት ማጥባት አማካሪ (ወይም ነርስ) ጋር መመካከር ይፈልጋሉ?,နို့တိုက်ရန် အတိုင်ပင်ခံ (သို့မဟုတ် သူနာပြု) နှင့် စကားပြောလိုပါသလား။,هل تريدين التحدث مع استشاري الرضاعة (أو الممرضة)؟,您想与哺乳顾问（或护士）交谈吗？
do_you_want_to_help_with_oral_care,Do you want to help with oral care?,¿Quiere ayudar con el cuidado oral?,Quer ajudar com os cuidados bucais?,Quý vị có muốn giúp chăm sóc răng miệng không?,Voulez-vous aider avec les soins bucco-dentaires?,구강 관리를 도와주시겠습니까?,ለአፍ እንክብካቤ ዕርዳታ ይፈልጋሉ?,သွားနှင့်ခံတွင်း စောင့်ရှောက်မှုအတွက် ကူညီလိုပါသလား။,هل تريد المساعدة في العناية بالفم؟,您想要协助进行口腔护理吗？
do_you_want_to_help_change_the_diaper,Do you want to help change the diaper?,¿Quiere ayudar a cambiar el pañal?,Quer ajudar a trocar a fralda?,Quý vị có muốn giúp thay tã không?,Voulez-vous aider à changer la couche?,기저귀 교체를 도와주시겠습니까?,ዳይፐር ለመቀየር ዕርዳታ ይፈልጋሉ?,သေးခံ (diaper) အသစ်လဲဖို့ ကူညီချင်ပါသလား။,هل تريد المساعدة في تغيير الحفاض؟,您想要协助换尿布吗？
do_you_want_to_take_the_babys_temperature,Do you want to take the baby's temperature?,¿Quiere tomar la temperatura del bebé?,Quer tirar a temperatura do bebê?,Quý vị có muốn đo nhiệt độ của em bé không?,Vous souhaitez prendre la température de bébé?,아기의 체온 재기를 원하십니까?,የሕፃኑን ሙቀት መለካት ይፈልጋሉ?,ကလေးကို အပူချိန်တိုင်းချင်ပါသလား။,هل تريد قياس درجة حرارة الطفل؟,您需要给宝宝量体温吗？
do_you_want_to_hold_your_baby,Do you want to hold your baby?,¿Quiere sostener a su bebé?,Quer segurar o bebê?,Quý vị có muốn bồng em bé không?,Voulez-vous tenir votre bébé?,아이를 안고 싶으십니까?,ልጅዎን መያዝ ይፈልጋሉ?,ကလေးကို ပွေ့ချီလိုပါသလား။,هل تريد أن تحمل طفلك؟,您想要抱宝宝吗？
do_you_want_to_hold_your_baby_skin_to_skin,Do you want to hold your baby skin to skin?,¿Quiere sostener a su bebé piel con piel?,Quer segurar o bebê fazendo contato com a pele?,Quý vị có muốn bồng em bé theo kiểu da áp da không?,Voulez-vous faire du peau-à-peau avec votre bébé?,서로 피부가 닿도록 아이를 안고 싶으십니까?,ልጅዎን ቆዳ ለቆዳ ንክኪ ባለው መልኩ መያዝ ይፈልጋሉ?,ကလေးကို သင့်အသားနှင့်ထိထားပြီး ပွေ့ချီလိုပါသလား။,هل تريدين حمل طفلك ملامسًا لجلدك؟,您想和您的宝宝进行肌肤接触吗？
do_you_need_more_bottles_for_your_milk_for_home,Do you need more bottles for your milk for home?,¿Necesita más biberones para la leche en casa?,Precisa de mais mamadeiras para o leite em casa?,Quý vị có cần thêm bình sữa để mang về nhà không?,Avez-vous besoin de biberons supplémentaires pour votre lait à la maison?,집에서 모유를 짤 우유병이 더 필요하십니까?,ለቤትዎ ወተት ተጨማሪ ጠርሙሶች ይፈልጋሉ?,အိမ်မှာ သင့်နို့ရည်ထည့်ရန် ဗူးများထပ်လိုပါသလား။,هل تحتاجين إلى المزيد من زجاجات الحليب للمنزل؟,您家里需要更多奶瓶吗？
provide_urine_sample,Can you provide a urine sample?,¿Puede proporcionar una muestra de orina?,Pode dar uma amostra de urina?,Quý vị có thể cung cấp mẫu nước tiểu không?,Pourriez-vous nous donner un échantillon d'urine?,소변 샘플을 제공해 주실 수 있습니까?,የሽንት ናሙና ማቅረብ ይችላሉ?,ဆီးနမူနာ ပေးနိုင်ပါသလား။,هل يمكنك تقديم عينة البول؟,您能提供尿液样本吗？
seen_surgeon,Have you seen the surgeon?,¿Ha visto al cirujano?,Já falou com o cirurgião?,Quý vị đã gặp bác sĩ giải phẫu chưa?,Avez-vous vu le chirurgien?,외과 의사를 만나셨습니까?,የቀዶ ጥገና ሐኪሙን አይተዋል?,ခွဲစိတ်ဆရာဝန်နဲ့ တွေ့ဖူးပါသလား။,هل فحصك الجراح؟,您见到外科医生了吗？
seen_anesthiologist,Have you seen the anesthiologist?,¿Ha visto al anestesista?,Já falou com o anestesiologista?,Quý vị đã gặp bác sĩ gây tê/gây mê chưa?,Avez-vous vu l'anesthésiste?,마취과 의사를 만나셨습니까?,ማደንዘዣ ሐኪሙን አይተዋል?,မေ့ဆေးဆရာဝန်နဲ့ တွေ့ဖူးပါသလား။,هل فحصك طبيب التخدير؟,您见过麻醉师吗？
move_toes,Can you move your toes?,¿Puede mover los dedos de los pies?,Consegue mexer os dedos dos pés?,Quý vị có thể cử động ngón chân của quý vị không?,Pouvez-vous bouger vos orteils?,발가락을 움직이실 수 있습니까?,የእግር ጣቶችዎን ማንቀሳቀስ ይችላሉ?,သင့်ခြေချောင်းများ လှုပ်ရှားနိုင်ပါသလား။,هل يمكنك تحريك أصابع قدميك؟,您能移动脚趾吗？
move_fingers,Can you move your fingers?,¿Puede mover los dedos de las manos?,Consegue mexer os dedos das mãos?,Quý vị có thể cử động ngón tay của quý vị không?,Pouvez-vous bouger vos doigts?,손가락을 움직이실 수 있습니까?,የእጅ ጣቶችዎን ማንቀሳቀስ ይችላሉ?,သင့်လက်ချောင်းများ လှုပ်ရှားနိုင်ပါသလား။,هل يمكنك تحريك أصابع يديك؟,您能移动手指吗？
put_gown_on,Time to put gown on.,Es hora de ponerse la bata.,Está na hora de colocar a camisola hospitalar.,Đã đến lúc mặc áo choàng vào.,Il est temps d'enfiler la chemise d'hôpital.,가운을 입으십시오.,ጋውን የመልበሻው ጊዜ አሁን ነው።,ဝတ်ရုံကို ဝတ်ဆင်လိုက်ပါ။,حان وقت ارتداء ملابس غرفة الجراحة.,您要穿手术衣了。
write_last_time_ate,Write down last time pt ate.,¿Puede escribir la última vez que el paciente comió?,Anote a última vez que o paciente comeu.,Ghi ra lần cuối bệnh nhân ăn.,Notez la dernière fois que le patient/la patiente a mangé.,환자가 마지막으로 먹은 시간을 적으십시오.,ታካሚው መጨረሻ የበሉትን ጊዜ ይፃፉ።,လူနာ နောက်ဆုံးစားခဲ့တဲ့ အချိန်ကို ချရေးပါ။,اكتب آخر مرة أكل فيها المريض.,请您写下上次进食的时间。
write_last_time_drank,Write down last time pt drank.,¿Puede escribir la última vez que el paciente bebió?,Anote a última vez que o paciente bebeu.,Ghi ra lần cuối bệnh nhân uống.,Notez la dernière fois que le patient/la patiente a bu.,환자가 마지막으로 마신 시간을 적으십시오.,ታካሚው መጨረሻ   የጠጡበትን ጊዜ ይፃፉ።,လူနာ နောက်ဆုံးသောက်ခဲ့တဲ့ အချိန်ကို ချရေးပါ။,اكتب آخر مرة شرب فيها المريض.,请您写下上次喝水或饮料的时间。
no_more_walking,No more walking after this medication.,No puede caminar más después de esta medicación.,Não pode mais caminhar depois de tomar este remédio.,Không đi lại nữa sau khi dùng thuốc này.,Vous ne devez pas marcher après avoir pris ce médicament.,이 약을 복용한 후에는 걸으면 안 됩니다.,ከዚህ መድሃኒት በኋላ በእግር መሄድ አያስፈልግም።,ဒီဆေးသောက်ပြီးနောက် လမ်းထပ်မလျှောက်ပါနဲ့။,توقف عن المشي بعد تناول هذا الدواء.,服用这种药物后请停止走动。
childs_name,What is your child's name?,¿Cómo se llama su niño?,Qual é o nome da criança?,Tên của em bé là gì?,Comment s'appelle votre enfant?,아이 이름이 어떻게 됩니까?,የልጅዎ ስም ማን ይባላል?,သင့်ကလေး နာမည် ဘယ်လိုခေါ်ပါသလဲ။,ما اسم طفلك؟,您的孩子叫什么名字？
change_diaper,I need you to change your kids diaper,Necesito que le cambie el pañal a su niño,Preciso que troque a fralda da criança,Tôi cần quý vị thay tã cho em bé,J'ai besoin que vous changiez la couche de votre enfant.,아이들 기저귀를 갈아주셔야 합니다,የልጅዎን ዳይፐር እንዲቀይሩ እፈልጋለሁ,သင့်ကလေး သေးခံကို လဲပေးပါ။,أريد تغيير الحفاضة لطفلك,我需要您给孩子更换尿布
have_appointment,Hello. Do you have an appointment with Children's Cardiology today?,Hola. ¿Tiene cita hoy con el departamento de Cardiología del Children's?,Olá. Tem uma consulta com a cardiologia pediátrica hoje?,Xin chào.  Hôm nay quý vị có hẹn với Khoa Tim mạch nhi đồng không?,Bonjour. Avez-vous un rendez-vous au service de cardiologie pédiatrique aujourd'hui?,안녕하세요. 오늘 아동 심장내과 진료 예약이 있으십니까?,ሰላም። ዛሬ ቺልድረንስ ካርዲዮሎጂ ቀጠሮ አልዎት?,မဂ်လာပါ။ ကလေး နှလုံးရောဂါဌာနမှာ ဒီနေ့ ရက်ချိန်းရှိသလား။,مرحبًا. هل لديك موعد مع طبيب أمراض القلب للأطفال اليوم؟,您好。您今天是否有儿童心脏病科约诊？
patients_name,What is the patient's name?,¿Cuál es el nombre del paciente?,Qual é o nome do paciente?,Tên của bệnh nhân là gì?,Quel est le nom du patient ou de la patiente?,환자 이름이 어떻게 됩니까?,የታካሚው ስም ማን ይባላል?,လူနာ နာမည် ဘာလဲ။,ما اسم المريض؟,患者叫什么名字？
spelling_of_name,Can you please confirm the spelling of the patient's name?,¿Puede confirmar cómo se deletrea el nombre del paciente?,Pode confirmar como se escreve o nome do paciente?,Quý vị có thể vui lòng xác nhận cách viết tên của bệnh nhân không?,Pouvez-vous confirmer l'orthographe du nom du patient?,환자 이름의 철자를 확인해 주시겠습니까?,እባክዎ የታካሚውን ስም የፊደል አጻጻፍ ማረጋገጥ ይችላሉ?,လူနာ နာမည် စာလုံးပေါင်းလေး ပြောပါ။,هل يمكنك تأكيد تهجئة اسم المريض؟,请确认患者姓名的拼写是否正确。
date_of_birth,What is the patient's date of birth?,¿Cuál es la fecha de nacimiento del paciente?,Qual é a data de nascimento do paciente?,Ngày tháng năm sinh của bệnh nhân là gì?,Quelle est la date de naissance du patient ?,환자 생년월일이 어떻게 됩니까?,የታካሚው የልደት ቀን መቼ ነው?,လူနာ မွေးသက္ကရာဇ် ပြောပါ။,ما تاريخ ميلاد المريض؟,患者的出生日期是什么？
any_cough, Any cough with or without fever in the last 48 hours?, ¿Ha tenido tos o fiebre durante las últimas 48 horas?, Alguma tosse com ou sem febre nas últimas 48 horas?, Em bé có ho kèm theo sốt hoặc không bị sốt trong 48 giờ qua không?, Y a-t-il eu une toux avec ou sans fièvre au cours des dernières 48 heures?, 지난 48시간 동안 발열을 동반하거나 동반하지 않은 기침이 있었습니까?, ባለፉት 48 ሰዓታት ውስጥ ማንኛውም ትኩሳት ያለው ወይም የሌለው ሳል አልዎት?,၄၈ နာရီအတွင်းမှာ ဖျားပြီး ချောင်းဆိုးသလား ဒါမှမဟုတ် မဖျားဘဲ ချောင်းဆိုးသလား။, هل عانى أي سعال مع حُمى أو من دونها خلال 48 ساعة الأخيرة؟, 过去 48 小时内，是否有咳嗽（无论是否伴随发烧）情况？
rash_with_fever,Any rash with fever?,¿Ha tenido alguna erupción acompañada de fiebre?,Alguma erupção cutânea com febre?,Có nổi mẩn kèm theo sốt không?,Y a-t-il eu une éruption cutanée accompagnée de fièvre ?,발열을 동반한 발진이 있었습니까?,ትኩሳት ያለው ማንኛውም ሽፍታ አልዎት?,ဖျားပြီး အဖုပေါက်သလား။,هل ظهر أي طفح جلدي مع الحمى؟,是否出现皮疹并伴有发烧？
family_have_flu,Has the patient or anyone in the household been sick with flu or flu like symptoms in the last 48 hours?,¿Ha estado enfermo con gripe el paciente u otra persona que viva en el hogar o ha tenido síntomas de gripe en las últimas 48 horas?,O paciente ou alguém em casa teve gripe ou sintomas semelhantes aos da gripe nas últimas 48 horas?,Bệnh nhân hoặc bất kỳ ai trong gia đình có bị bệnh cúm hoặc các triệu chứng giống cúm trong 48 giờ qua không?,Le patient/La patiente ou un membre de son foyer a-t-il été malade de la grippe ou a-t-il présenté des symptômes grippaux au cours des dernières 48 heures?,환자 또는 가족분들 중 지난 48시간 동안 독감이나 독감과 비슷한 증상을 앓은 사람이 있습니까?,ባለፉት 48 ሰዓታት ውስጥ ታካሚው ወይም ማንኛውም ቤተሰብ ውስጥ ያለ ሰው በፍሉ ወይም ፍሉ በሚመስሉ ምልክቶች ታሟል?,၄၈ နာရီအတွင်းမှာ လူနာ ဒါမှမဟုတ် အိမ်ကတစ်ယောက်ယောက် တုပ်ကွေးဖျားသလား ဒါမှမဟုတ် တုပ်ကွေးလိုလက္ခဏာနဲ့ဖျားသလား။,هل أصيب المريض أو أي شخص في الأسرة بأعراض الأنفلونزا أو أعراض تشبه أعراض الأنفلونزا خلال الـ 48 ساعة الأخيرة؟,在过去 48 小时内 患者或患者家中是否有人患过流感或出现类似流感的症状？
recent_travel_outside_US,Any travel outside of the US in the past 21 days?,¿Ha viajado fuera de los Estados Unidos en los últimos 21 días?,Alguma viagem para fora dos EUA nos últimos 21 dias?,Có đi ra ngoài Hoa Kỳ trong 21 ngày qua không?,Le patient a-t-il voyagé en dehors des États-Unis au cours des 21 jours précédents ?,지난 21일 동안 미국 이외의 지역을 여행한 적이 있습니까?,ባለፉት 21 ቀናት ውስጥ ከአሜሪካ ውጪ ማንኛውንም ዓይነት ጉዞ አድርገዋል?,၂၁ ရက်အတွင်းမှာ ယူအက်စ် ပြင်ပကို ခရီးထွက်ခဲ့သလား။,هل سافرت خارج الولايات المتحدة خلال الـ 21 يومًا الماضية؟,在过去 21 天内，是否曾出境美国？
parent_or_guardian_name,Parent or Legal Guardian Name?,¿Cuál es el nombre del padre madre o tutor legal?,Nome do pai da mãe ou do responsável legal?,Tên cha mẹ hoặc người giám hộ hợp pháp là gì?,Quel est le nom du parent ou du tuteur légal ?,부모/법적 보호자 이름?,የወላጅ ወይም የህጋዊ አስዳጊ ስም?,မိဘ ဒါမှမဟုတ် အုပ်ထိန်းသူ နာမည် ဘာလဲ။,ما اسم ولي الأمر أو الوصي القانوني؟,父母或法定监护人的姓名是什么？
insurance_card_photo_id,May I have the insurance card and Photo Id?,¿Me permite la tarjeta del seguro y una identificación con foto?,Posso ver o cartão do plano de saúde e um documento de identidade com foto?,Vui lòng cho tôi xem thẻ bảo hiểm và giấy tờ nhận dạng có ảnh được không?,Puis-je avoir la carte d'assurance et la carte d'identité avec photo ?,보험 카드와 사진이 있는 신분증을 보여 주시겠습니까?,የመድህን ካርድ እና የፎቶ መታወቂያ ሊሰጡኝ ይችላሉ?,အာမခံကတ်ပြား ဒါမှမဟုတ် ဓါတ်ပုံပါ သက်သေခံကတ်ပြား ပေးပါ။,هل يمكنني الحصول على بطاقة التأمين وهوية تحمل صورة؟,能不能把保险卡和带照片的身份证给我一下？
confirming_information,Now I'm going to confirm some information with you.,Ahora voy a confirmar con usted la información.,Vou confirmar algumas informações com você.,Bây giờ tôi sẽ xác nhận một số thông tin với quý vị.,Je vais maintenant vous demander de confirmer certaines informations.,이제 몇 가지 정보를 확인하겠습니다.,አሁን ከእርስዎ የተወሰነ መረጃ አረጋግጣለሁ።,အခု မေးခွန်းအချို့ မေးပါမယ်။,سوف أؤكد الآن بعض المعلومات معك.,现在我需要跟您确认一下相关信息。
patients_address,What is the patient's address?,¿Cuál es la dirección del paciente?,Qual é o endereço do paciente?,Địa chỉ của bệnh nhân là gì?,Quelle est l'adresse du patient ou de la patiente?,환자 주소가 어떻게 됩니까?,የታካሚው አድራሻ የት ነው?,လူနာရဲ့ လိပ်စာ ဘာလဲ။,ما عنوان المريض؟,患者的地址是什么？
primary_contact_phone,What is the primary contact telephone number for the patient? Is this mom or dad's number?,¿Cuál es el teléfono principal de contacto que se usará con relación al paciente? ¿Es el número de la mamá o del papá?,Qual é o telefone de contato principal do paciente? Esse é o número da mãe ou do pai?,Số điện thoại chính để liên lạc về bệnh nhân là gì? Đây là số của cha hay mẹ?,Quel est le numéro de téléphone principal de la personne à contacter pour le patient ou la patiente? S'agit-il du numéro de la mère ou du père ?,환자의 기본 연락 전화번호는 무엇입니까? 이 번호는 어머님 아니면 아버님 번호입니까?,የታካሚው ዋና የመገኛ ስልክ ቁጥር ምንድን ነው? ይህ የእናት ወይም የአባት ቁጥር ነው?,လူနာကို ဆက်သွယ်ရမယ့် ဖုန်းနံပါတ် ဘာလဲ။ အမေရဲ့ ဖုန်းနံပါတ်လား ဒါမှမဟုတ် အဖေရဲ့ ဖုန်းနံပါတ်လား။,ما رقم هاتف الاتصال الرئيس للمريض؟ هل هذا رقم الأم أم الأب؟,患者的主要联系电话号码是多少？这是妈妈还是爸爸的号码？
insurance_through_mom_dad,Is the insurance through mom or dad?,¿Tiene el seguro a través de su mamá o de su papá?,O plano de saúde está no nome da mãe ou do pai?,Bảo hiểm là qua cha hay mẹ?,L'assurance est-elle souscrite au nom du père ou de la mère ?,어머님 보험 아니면 아버님 보험을 통해서 하실 건가요?,መድህኑ በእናት ወይም በአባት በኩል ነው?,အာမခံက အဖေနာမည်နဲ့လုပ်တာလား ဒါမှမဟုတ် အမေနာမည်နဲ့လုပ်တာလား။,هل التأمين عن طريق الأم أم الأب؟,保险投保人是妈妈还是爸爸？
who_do_they_work_for,Who do they work for?,¿Para quién trabaja?,Para quem o titular do plano trabalha?,Cha hay mẹ làm việc cho ai?,Où travaille cette personne?,어디에서 일하십니까?,እነርሱ የሚሰሩት ለማን ነው?,သူတို့ ဘယ်မှာအလုပ်လုပ်သလဲ။,أين يعملون؟,他们的工作单位是什么？
primary_care_provider,Who is the patient's Primary Care Provider?,¿Quién es el médico de atención primaria del paciente?,Quem é o provedor de cuidados primários do paciente?,Bác sĩ gia đình của bệnh nhân là ai?,Qui est le prestataire de soins primaires du patient ou de la patiente ?,환자분의 1차 진료 제공자는 누구입니까?,የታካሚው ዋና የእንክብካቤ አቅራቢ ማን ነው?,လူနာကို အဓိက စောင့်ရှောက်ပေးတာ ဘယ်သူလဲ။,من مُقدم خدمة الرعاية الأولية للمريض؟,患者的家庭医生是谁？
referred_by,Who referred you to us?,¿Quién lo refirió a nosotros?,Quem encaminhou o paciente para nós?,Ai đã giới thiệu quý vị đến với chúng tôi?,Qui vous a adressé à nous?,귀하를 저희에게 의뢰하신 분이 누구입니까?,ወደ እኛ የጠቆምዎት ማን ነው?,ဒီကို ဘယ်သူက ညွှန်းလိုက်သလဲ။,من أحالك إلينا؟,谁向您推荐了我们？
which_pharmacy,What pharmacy do you use if any medication is ordered? (verify location of pharmacy),¿Qué farmacia prefiere en caso de que tengamos que prescribir algún medicamento? (verifique la ubicación de la farmacia),Qual farmácia você usa se precisar de algum medicamento? (verifique a localização da farmácia),Quý vị sử dụng nhà thuốc nào nếu bác sĩ có cho thuốc theo toa? (kiểm tra xác nhận địa điểm của nhà thuốc),Quelle pharmacie utilisez-vous en cas de besoin de médicaments? (vérifiez les coordonnées de la pharmacie),어느 약국에서 약을 주문하십니까? (약국 위치 확인),ማንኛውም መድሃኒት ቢታዘዝ የሚጠቀሙት የመድሃኒት መደብር የትኛው ነው? (የመድሃኒት መደብሩን መገኛ ስፍራ ያረጋግጡ),​ဆေးဝယ်ဖို့ဆေးစာပေးရင် ဘယ်ဆေးဆိုင်မှာ ဝယ်သလဲ။ (ဆေးဆိုင်နေရာပြောပါ),ما الصيدلية التي تطلبين منها أي دواء؟ (التحقق من موقع الصيدلية),如果需要购买药物 您会选择哪家药房？（核实药房地址）
consent_to_treat_form,This form is Consent to Treat and to fill the insurance. Please fill it out.,Este formulario es el consentimiento para recibir tratamiento y para el seguro. Es necesario que lo llene.,Este formulário é o Consentimento para Tratamento e para o preenchimento do plano de saúde. Preencha o formulário por favor.,Mẫu đơn này là Chấp thuận cho phép điều trị và điền thông tin bảo hiểm. Vui lòng điền mẫu đơn. ,Ce formulaire est un consentement au traitement et à la prise en charge par l'assurance. Veuillez le remplir.,이 양식은 치료 동의 및 보험 사항 기입에 대한 것입니다. 기재해 주십시오.,ይህ ቅጽ የህክምና ፈቃድ እና መድህኑን የመሙላት ስምምነት ነው። እባክዎ ይሙሉ።,ဒီပုံစံက ကုသဖို့ သဘောတူချက်ပေးတာနဲ့ အာမခံအတွက်ဖြည့်ဖို့ဖြစ်ပါတယ်။ ပုံစံကိုဖြည့်ပေးပါ။,هذا نموذج الموافقة على العلاج واستكمال بيانات التأمين. يُرجى استكماله.,此表格为同意治疗书，需要填写保险信息。请填写该表格。
