Variable Names,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
form_for_mychart,This form is to sign you and your child up for MyChart for access to all records.,Este formulario es para registrarlos a usted y a su niño en MyChart para que tengan acceso a todos los registros.,Este formulário é para inscrever você e a criança no MyChart que dá acesso à toda documentação médica.,Mẫu này để đăng ký cho quý vị và em bé vào hồ sơ điện tử MyChart để được xem tất cả các hồ sơ.,Ce formulaire sert à vous inscrire vous et votre enfant à MyChart pour vous permettre d'avoir accès à tous les dossiers.,이 양식은 귀하와 귀하의 자녀가 모든 기록에 접근할 수 있도록 MyChart에 등록하기 위해 필요합니다.,ይህ ቅጽ ሁሉንም መዝገቦች ማግኘት እንዲችሉ እርስዎን እና ልጅዎን ለ MyChart ይመዘግቦታል።,ဒီပုံစံက သင်နဲ့သင့်ကလေးအတွက် ဆေးမှတ်တမ်းအားလုံးကို ဝင်ကြည့်ဖို့အတွက် MyChart မှာစာရင်းသွင်းပေးတာပါ။,هذا النموذج لتسجيلك أنت وطفلك في تطبيق MyChart للوصول إلى جميع السجلات.,此表格用于为您和您的孩子注册 MyChart 以便访问所有记录。
email_in_24_hours,You will receive email notification within 24 hours.,Recibirá la notificación por correo electrónico dentro de 24 horas.,Você vai receber um aviso por e-mail dentro de 24 horas.,Quý vị sẽ nhận được email thông báo trong vòng 24 giờ.,Vous recevrez une notification par courrier électronique dans les 24 heures.,귀하에게 24시간 이내 이메일 알림이 갈 것입니다.,በ 24 ሰዓታት ውስጥ የኢሜይል ማሳወቂያ ይደርስዎታል።,သင် ၂၄ နာရီအတွင်း အီးမေးလ်နဲ့ပြန်စာ ရပါလိမ့်မယ်။,سوف تتلقى إشعارًا عبر البريد الإلكتروني خلال 24 ساعة.,您将在 24 小时内收到电子邮件通知。
thank_you_waiting_room,Thank you. You may have a seat in the waiting room. Someone will call you back shortly.,Gracias. Puede tomar asiento en la sala de espera. Alguien lo llamará muy pronto.,Agradeço. Pode se sentar na sala de espera. Alguém vai chamar você em breve.,Cám ơn quý vị.  Quý vị có thể ngồi trong phòng chờ. Sẽ có người gọi quý vị vào ngay.,Nous vous remercions. Vous pouvez vous asseoir dans la salle d'attente. Quelqu'un vous appellera sous peu.,감사합니다. 대기실에 앉아 계십시오. 다른 사람이 곧 호명할 것입니다.,እናመሰግናለን። የጥበቃ ክፍል ውስጥ መቀመጥ ይችላሉ። በአጭር ጊዜ ውስጥ ይደወልልዎታል።,​ကျေးဇူးတင်ပါတယ်။ စောင့်ဆိုင်းအခန်းမှာ ထိုင်နိုင်ပါပြီ။ တစ်ယောက်ယောက်က မကြာခင် ပြန်ခေါ်ပါလိမ့်မယ်။,شكرًا لك. يمكنك التفضل بالجلوس في غرفة الانتظار. سوف نطلبك بعد قليل.,谢谢。您可以在候诊室等待。很快会有人叫您回来。
doctor_is_running_behind,I apologize but the doctor is running behind and the wait may be a little longer than expected.,Nos disculpamos pero el doctor está atrasado y pudiera ser necesario que espere un poco más de lo que se había anticipado.,Desculpa mas o médico está atrasado e o tempo espera pode ser um pouco mais longo do que o esperado.,Tôi xin lỗi nhưng bác sĩ đang bị dồn việc nên thời gian chờ đợi có thể lâu hơn dự tính ​​một chút.,Je vous prie de m'excuser mais le médecin a pris du retard et l'attente risque d'être un peu plus longue que prévu.,죄송하지만 의사 진료가 밀려서 조금 더 기다리셔야 할 것 같습니다.,ይቅርታነገር ግን ሐኪሙ አርፍዷል ስለሆነም ከሚጠበቀው ጊዜ በላይ ሊጠብቁ ይችላሉ።,စိတ်မရှိပါနဲ့၊ ဆရာဝန် နည်းနည်းနောက်ကျနေပါတယ်၊ စောင့်ဆိုင်းရတာ ခန့်မှန်းထားတာထက် နည်းနည်း ပိုကြာနိုင်ပါတယ်။,أعتذر ولكن الطبيب يتأخر وقد يكون الانتظار أطول قليلاً من المتوقع.,很抱歉，医生现在很忙，您等待的时间可能会比预期时间要长一些。
want_bottle_of_water,Would you like a bottle of water?,¿Desea una botella de agua?,Quer uma garrafinha de água?,Quý vị có cần uống nước không?,Voulez-vous une bouteille d'eau?,물 한 병 드릴까요?,አንድ ጠርሙስ ውሃ ይፈልጋሉ?,​ရေပုလင်း လိုချင်ပါသလား။,هل ترغب في الحصول على زجاجة ماء؟,您是否想要一瓶水？
lets_schedule_follow_up,Let's get you scheduled for your follow up appointment.,Vamos a programar su cita de seguimento.,Vamos agendar a consulta de acompanhamento.,Chúng ta hãy cùng lấy hẹn tái khám cho em bé.,Prenons rendez-vous pour votre consultation de suivi.,추후 진료 일정을 잡아드리겠습니다.,ለክትትል ቀጠሮዎ መርሃግብር እንያዝልዎት።,​နောက်ဆက်တွဲ ရက်ချိန်းအတွက် ရက်ချိန်းပေးပါမယ်။,دعنا نحدد لك موعد المتابعة.,让我们为您安排复诊。
have_a_great_day,Have a great day!,¡Que pase un buen día!,Tenha um ótimo dia!,Chúc quý vị một ngày an lành!,Je vous souhaite une excellente journée !,좋은 하루되십시오!,መልካም ቀን ይሁንልዎ!,အကောင်းဆုံးနေ့ ဖြစ်ပါစေ။,أتمنى لك قضاء يوم رائع!,祝您愉快！
doctor_will_see_you_unsure_about_wait_time,The doctor will be able to see you later now. We are not sure how long the wait time will be.,El médico lo recibirá hoy mismo un poco más tarde. No estamos seguros de cuál será el tiempo de espera.,O médico pode atender você mais tarde. Não sabemos ao certo qual será o tempo de espera.,Bây giờ bác sĩ sẽ có thể gặp quý vị sau. Chúng tôi không chắc thời gian chờ đợi sẽ kéo dài bao lâu.,Le médecin pourra vous recevoir plus tard. Nous ne sommes pas sûrs de la durée de l'attente.,조금 후에 의사와 만나실 수 있습니다. 얼마나 기다리셔야 할지는 잘 모르겠습니다.,ሐኪሙወደ በኋላ እርስዎን ማየት ይችላል። የጥበቃ ጊዜው ምን ያክል ሊሆን እንደሚችል አናውቅም።,ဆရာဝန် ခဏကြာရင် ကြည့်ပေးနိုင်ပါတယ်။ ဘယ်လောက်ကြာကြာစောင့်ရမယ်ဆိုတာတော့ မသိပါဘူး။,سيكون الطبيب قادرًا على رؤيتك لاحقًا الآن. لسنا متأكدين من مدة الانتظار.,医生稍后就可以为您看诊。我们不确定候诊时间要多久。
im_sorry_but_reschedule,I'm sorry but we will have to reschedule you for another day.,Lo lamentamos mucho pero tenemos que reprogramar su cita para otro día.,Sinto muito mas temos que remarcar a consulta para outro dia.,Rất tiếc là chúng tôi sẽ phải dời hẹn của quý vị vào một ngày khác.,Je suis désolé(e) mais nous allons devoir vous fixer un autre rendez-vous.,죄송하지만 다른 날로 일정을 잡아 드리겠습니다.,ይቅርታ  ነገር ግን የእርስዎን ቀጠሮ ወደ ሌላ ቀን መቀየር ይኖርብናል።,စိတ်မကောင်းပါဘူး၊ နောက်တစ်နေ့ကို ပြန်ချိန်းပေးပါမယ်။,أنا آسف ولكن سيتعين علينا إعادة جدولة موعدك ليوم آخر.,很抱歉，我们只能为您安排下次就诊。
what_time_works_for_you,What time works best for you? Morning? Afternoon?,¿Qué hora le parece mejor? ¿En la mañana? ¿En la tarde?,Qual é o melhor horário para você? De dia? À tarde?,Thời gian nào thuận tiện nhất cho quý vị? Buổi sáng?  Buổi chiều?,Quelle heure vous convient le mieux? Le matin? L'après-midi?,언제가 가장 편하십니까? 오전? 오후?,ለእርስዎ የሚመችዎ ስንት ሰዓት ነው? ጠዋት? ከሰዓት በኋላ?,သင့်အဖို့ ဘယ်အချိန် အဆင်အပြေဆုံးလဲ။ မနက်ပိုင်းလား။ နေ့လည်ပိုင်းလား။,ما الوقت المناسب لك؟ صباحًا؟ بعد الظهر؟,什么时间对您来说最方便？上午？还是下午？
form_for_parent_conversation,This form allows us to talk to your parents since you are an adult. Please fill out the highlighted areas.,Este formulario nos permite hablar con sus padres ya que es un adulto. Llene todas las áreas resaltadas.,Este formulário nos permite falar com o seu pai ou e a sua mãe já que você é maior de idade. Preencha as áreas destacadas por favor.,Mẫu đơn này cho phép chúng tôi nói chuyện với cha mẹ của quý vị vì quý vị đã trưởng thành. Vui lòng điền các phần được đánh dấu.,Ce formulaire nous permet de parler à vos parents puisque vous êtes adulte. Veuillez remplir les zones surlignées.,귀하가 성인이기에 이 양식을 작성하실 경우 저희가 귀하의 부모님과 대화할 수 있습니다. 하이라이트된 부분을 기재해 주십시오.,ይህ ቅጽ እርስዎ አዋቂ ስለሆኑ ወላጆችዎን እንድናነጋግር ያስችለናል። የቀለሙትን ቦታዎች እባክዎ ይሙሉ።,သင် အရွယ်ရောက်သူ မဟုတ်တဲ့အတွက် ဒီပုံစံကြောင့် ကျွန်ုပ်တို့ သင့်မိဘများနဲ့ စကားပြောနိင်မှာဖြစ်ပါတယ်။ အရောင်ခြယ်ထားတဲ့ အပိုင်းတွေကို ဖြည့်စွက်ပေးပါ။,يتيح لنا هذا النموذج التحدث مع والديك نظرًا لأنك بالغ. يُرجى استكمال المناطق المميزة.,由于您已经成年，此表让我们能够与您的父母进行交流。请填写高亮显示的区域。
stand_on_scale_for_height_weight,Please stand on the scale to measure height and weight.,Súbase a la balanza para tomar su peso y altura.,Suba na balança para medir a altura e o peso.,Vui lòng đứng lên cân để đo chiều cao và trọng lượng.,Veuillez monter sur la balance pour que je puisse mesurer votre taille et votre poids.,키와 몸무게를 잴 수 있게 체중계에 올라서십시오.,ቁመት እና ክብደት ለመለካት እባክዎ ሚዛኑ ላይ ይቁሙ።,အရပ်နဲ့ကိုယ်အလေးချိန် တိုင်းဖို့ ပေါင်ချိန်စက်ပေါ် တက်ပါ။,يُرجى الوقوف على الميزان لقياس الطول والوزن.,请站在体重秤上测量身高和体重。
baby_on_scale,Please lay the baby on the scale to check their weight.,Coloque al bebé en la balanza para pesarlo.,Coloque o bebê na balança para verificar o peso.,Vui lòng đặt em bé lên bàn cân để đo trọng lượng.,Posez votre bébé sur la balance pour que je puisse vérifier son poids.,아기의 몸무게를 확인할 수 있도록 아기를 체중계 위에 올려놓으십시오.,የህጻኑን ክብደት ለመለካት እባክዎ ህጻኑን ሚዛኑ ላይ ያስቀምጡ።,ကလေးကိုယ်အလေးချိန်တိုင်းဖို့ ကလေးကို ပေါင်ချိန်စက်ပေါ်တင်ပါ။,يُرجى وضع الطفل على الميزان للتحقق من وزنه.,请将婴儿放在体重秤上测量体重。
remove_top_and_put_on_vest,Please remove your top and put on this vest open in the front.,Quítese la camisa y póngase la bata con la parte abierta hacia el frente.,Retire a blusa e vista este colete aberto na frente.,Vui lòng cởi áo và mặc chiếc áo nhỏ này phần mở ở phía trước.,Veuillez enlever votre haut et enfiler ce vêtement ouvert sur le devant.,상의를 벗고 앞부분이 열린 조끼를 입으십시오.,እባክዎ ከላይ የለበሱትን በማውለቅ ይህን ሰደርያ ከፊት ክፍት በማድረግ ይልበሱ።,အပေါ်အင်္ကျီကိုချွတ်ပြီး ဒီဝတ်ရုံကို အရှေ့ဘက်ဖွင့်ပြီးဝတ်ပါ။,يُرجى خلع القميص وارتداء هذه السترة المفتوحة من الأمام.,请脱掉上衣，穿上这件前开襟背心。
checking_pulse,I am placing this on the finger to check the pulse ox.,Le estoy poniendo esto en el dedo para medir su oximetría de pulso.,Estou colocando isto no dedo para verificar a oximetria de pulso.,Tôi sẽ đặt cái này lên ngón tay để kiểm tra mạch đập.,Je place ceci sur votre doigt pour vérifier l'oxymétrie de pouls.,이것을 손가락 위에 놓고 맥박을 확인하겠습니다.,የልብ ትርታዎን ለማየት ይህን ጣትዎ ላይ እያደረኩ ነው።,​အောက်စီဂျင်ဓာတ်ကိုတိုင်းဖို့ ဒါကို လက်ညှိုးထိပ်မှာ တပ်ပါမယ်။,أنا أضع هذا على الإصبع للتحقق من التأكسج النبضي.,我会把它放在手指上，测量脉搏血氧饱和度。
doing_ekg,I am going to do an EKG.,Le voy a hacer un electrocardiograma (EKG).,Vou fazer um eletrocardiograma.,Tôi sẽ đo EKG.,Je vais faire un électrocardiogramme.,심전도 검사(EKG)를 하겠습니다.,EKG ልሰራልዎት ነው።,အီးစီဂျီ တိုင်းပါမယ်။,سأجري تخطيط كهربية القلب (إيكو).,我将为您进行心电图检查。
please_lie_still,Please lie very still.,Recuéstese y no se mueva.,Não se mexa por favor.,Vui lòng nằm yên tại chỗ.,Restez allongé(e) sans bouger.,움직이지 말고 가만히 누워 계십시오.,እባክዎ ሳይንቀሳቀሱ ይተኙ።,ငြိမ်ငြိမ်လေး လဲလျောင်းပေးပါ။,يُرجى الاستلقاء بثبات شديد.,请躺着不要动。
breathe_normally_and_dont_move,Breathe normally but try not to move around.,Respire normalmente pero no trate de moverse.,Respire normalmente mas tente não se movimentar.,Thở bình thường nhưng cố gắng không nhúc nhích cử động.,Respirez normalement mais essayez de ne pas bouger.,호흡은 정상적으로 하시고 되도록 움직이지 마십시오.,የተለመደ አተነፋፈስ ይተንፍሱነገር ግን ላለመንቀሳቀስ ይሞክሩ።,ပုံမှန်အသက်ရှူပြီး မလှုပ်ပါနှင့်။,تنفس بشكل طبيعي ولكن حاول ألا تتحرك.,请正常呼吸，但尽量不要动。
nurse_will_be_in_shortly,The nurse will be in shortly.,El enfermero vendrá muy pronto.,A enfermeira chegará em breve.,Y tá sẽ đến ngay.,L'infirmier ou l'infirmière va bientôt arriver.,간호사가 곧 올 것입니다.,ነርሷ በአጭር ጊዜ ውስጥ ትገባለች።,သူနာပြု မကြာမီ လာပါမယ်။,ستصل الممرضة بعد قليل,护士很快就会过来。
doctor_will_be_in_shortly,The doctor will be in shortly.,El médico vendrá muy pronto.,O médico chegará em breve.,Bác sĩ sẽ đến ngay.,Le médecin va bientôt arriver.,의사가 곧 올 것입니다.,ሐኪሙ በአጭር ጊዜ ውስጥ ይገባል።,ဆရာဝန် မကြာမီ လာပါမယ်။,سيصل الطبيب بعد قليل,医生很快就会过来。
taking_you_to_room_for_echo,I am taking you to the room where they will do an echo.,Lo estoy llevando a la sala donde le van a hacer un ecocardiograma.,Vou levar você para a sala de ultrassonografia.,Tôi sẽ đưa quý vị đến phòng nơi chụp vang tim.,Je vous emmène dans la salle où l'on va faire l'échographie.,초음파 검사실로 모시겠습니다.,ኤኮ ወደሚሰሩበት ክፍል እየወሰድኮት ነው።,အက်ခိုးလို့ခေါ်တဲ့ တန်ပြန်အသံကို တိုင်းမယ့် အခန်းထဲ သွားကြပါမယ်။,سآخذك إلى الغرفة حيث سيقومون بعمل إيكو.,我将带您前往超声心动图检查室。
want_to_watch_movie_during_echo,Would you like to watch a movie during your echo?,¿Quiere ver una película mientras le hago el ecocardiograma?,Quer assistir a um filme durante a ultrassonografia?,Quý vị có muốn xem phim trong khi đang được chụp vang tim không?,Voulez-vous regarder un film pendant votre échographie?,초음파 검사를 하는 동안 영화를 보시겠습니까?,ኤኮ በሚሰራበት ጊዜ ፊልም ማየት ይፈልጋሉ?,အက်ခိုးတိုင်းနေတဲ့အချိန်မှာ သင် ရုပ်ရှင်ကြည့်ချင်သလား။,هل ترغب في مشاهدة فيلم في أثناء إجراء الإيكو؟,您是否想在超声心动图检查期间看看电影？
back_to_room_after_echo,They will bring you back to your room after the echo.,Lo volverán a traer a su habitación después del ecocardiograma.,Vão levar você de volta ao quarto após a ultrassonografia.,Họ sẽ đưa quý vị trở lại phòng sau khi chụp vang tim.,On vous ramènera dans votre chambre après votre échographie.,초음파 검사가 끝나면 직원이 귀하의 병실로 데려다 줄 것입니다.,ከኤኮ በኋላ ወደ ክፍልዎ መልሰው ይወስዱዎታል።,အက်ခိုးတိုင်းပြီးရင် သင့်အခန်းဆီ ပြန်ခေါ်သွားပေးပါမယ်။,سوف يعيدونك إلى غرفتك بعد إجراء الإيكو.,超声心动图检查结束后，他们会带您回到您的房间。
doctor_coming_to_discuss_echo,The doctor will be in soon to discuss the results if the ECHO,El médico vendrá pronto para conversar sobre los resultados del ecocardiograma.,O médico virá em breve para falar dos resultados da ultrassonografia.,Bác sĩ sẽ đến ngay để thảo luận về kết quả chụp vang tim nếu ECHO,Le médecin va bientôt arriver pour discuter des résultats de votre échographie.,초음파 검사 결과가 나오면 의사가 곧 검사 결과를 상의드릴 것입니다,ሐኪሙ የ ECHO ውጤቶችን ለመወያየት በቅርቡ ይመጣል,အက်ခိုး အဖြေကိုဆွေးနွေးဖို့ ဆရာဝန် မကြာမီ လာပါမယ်။,سيأتي الطبيب قريبًا لمناقشة نتائج فحص الإيكو,医生很快会过来和您讨论超声心动图检查结果
taking_pictures_of_heart,We are taking pictures of your heart.,Vamos a tomar fotos de su corazón.,Estamos tirando fotos do seu coração.,Chúng tôi đang chụp hình tim của quý vị.,Nous prenons des photos de votre cœur.,귀하의 심장 사진을 찍고 있습니다.,የልብዎን ምስሎች እየወሰድን ነው።,သင့်နှလုံးကို ဓာတ်ပုံရိုက်ပါမယ်။,نحن نلتقط صورًا لقلبك.,我们正在进行心脏拍片。
this_will_not_hurt,This will not hurt.,No le va a doler.,Não vai doer.,Việc này sẽ không gây đau.,Cela ne vous fera pas mal.,아프지 않을 것입니다.,ይህ አያምም።,မနာပါဘူး။,لن تشعر بأي ألم.,您不会有痛感。
lay_down_on_left,Lay down on the bed on your left side.,Recuéstese en la cama sobre el lado derecho.,Deite-se na cama virando para o seu lado esquerdo.,Nằm xuống giường và nằm nghiêng về bên trái.,Allongez-vous sur le lit sur votre côté gauche.,침대에 왼쪽으로 누우십시오.,አልጋው ላይ በግራ ጎንዎ ይተኙ።,ကုတင်ပေါ် ဘယ်ဘက်စောင်းပြီး လဲလျောင်းအိပ်ပေးပါ။,استلق على السرير على جانبك الأيسر.,请躺在床上，左侧卧。
lie_flat_on_back,Lie flat on your back.,Recuéstese estirado y boca arriba.,Deite-se de costas.,Nằm ngửa.,Allongez-vous sur le dos.,등을 바닥에 대고 반듯이 누우십시오.,በጀርባዎ ቀጥ ብለው ይተኙ።,ပက်လက်လှန် အိပ်ပေးပါ။,استلق ممددًا على ظهرك.,请平躺在床上。
lift_chin_up,Tilt/lift your chin up.,Incline y levante la barbilla.,Incline a cabeça levantando o queixo para cima. ,Ngả/nâng cằm lên.,Relevez le menton.,턱을 위로 기울이십시오/들어올리십시오.,ያዘንብሉ/አገጭዎን ወደ ላይ ቀና ያርጉ።,​မေးစေ့ကို မော့ပေးပါ။,قم بإمالة أو رفع ذقنك لأعلى.,请倾斜/抬起下巴。
lift_under_shoulders_and_tilt_head_back,Lift under the baby's shoulders and tilt the head back.,Levante los hombros del bebé e inclínele la cabeza hacia atrás.,Levante sob os ombros do bebê e incline a cabeça para trás.,Nâng dưới vai em bé và ngả đầu về phía sau.,Soulevez les épaules de bébé et inclinez sa tête vers l'arrière.,아기의 어깨 아래로 들어 올리고 머리를 뒤로 젖히게 하십시오.,በህጻኑ ትከሻዎች ስር ቀና ያርጉ እና ጭንቅላቱን ወደ ኋላ ያዘንብሉ።,ကလေးငယ်ရဲ့ ပုခုံးကိုကိုင်မပြီး ခေါင်းကို နောက်ဘက်နည်းနည်းစောင်းပေးပါ။,ارفعي الطفل من أسفل كتفيه مع إمالة رأسه للخلف,请从肩部下方将宝宝抬起，并使其头部后仰。
breathe_and_hold,Take in a deep breath and hold it  ,Inhale profundamente y mantenga la respiración.,Respire fundo e segure a respiração  ,Hít một hơi thật sâu và nín thở,Inspirez profondément et retenez votre souffle.,심호흡을 하고 참으십시오,በጥልቀት ወደ ውስጥ በመተንፈስ አየር ሳያስወጡ ይያዙት,အသက် ပြင်းပြင်းရှူပြီး အောင့်ထားပါ။,خذ نفسًا عميقًا واحبسه.,请深吸一口气，然后屏住呼吸
you_can_breathe_now,You can breathe now.,Ya puede respirar.,Já pode respirar.,Bây giờ quý vị có thể thở lại được rồi.,Vous pouvez maintenant respirer.,이제 숨을 쉬셔도 됩니다.,አሁን መተንፈስ ይችላሉ።,ပုံမှန် အသက်ရှူလို့ရပါပြီ။,يمكنك إخراجه الآن.,您现在可以正常呼吸了。
lift_your_arm_up_high,Lift your arm up high under your head please.,Levante el brazo hasta debajo de la cabeza.,Levante o braço bem alto sob sua cabeça por favor.,Vui lòng nâng cánh tay lên cao và đặt dưới đầu của quý vị.,Levez le bras sous la tête s'il vous plaît.,머리 아래로 팔을 높이 들어주십시오.,እባክዎ እጅዎ ከጭንቅላትዎ ስር ወደ ላይ ከፍ ያድርጉት።,လက်မောင်းကို ခေါင်းအောက်လောက်အထိ မြောက်ပေးပါ။,ارفع ذراعك للأعلى وضعه تحت رأسك من فضلك.,请将胳膊抬高放在头下。
bend_your_knees,Bend your knees please.,Doble las rodillas.,Dobre os joelhos por favor.,Vui lòng gập hai đầu gối.,Pliez les genoux s'il vous plaît.,무릎을 굽히십시오.,እባክዎ ጉልበትዎን ይጠፉ።,ဒူးကွေးပေးပါ။,اثنِ ركبتيك من فضلك.,请弯曲膝盖。
roll_on_your_side,Roll on your side more towards me.,Voltéese de lado más hacia mí.,Vire-se de lado mais para perto de mim.,Hãy lăn nghiêng thêm nữa về phía tôi.,Tournez-vous sur le côté plus près de moi.,제 쪽으로 좀 더 돌아누우십시오.,በጎንዎ ወደ እኔ የበለጠ ይጠጉ።,ကျွန်ုပ်ဘက်လှည့်ပြီး နည်းနည်းကပ်ပေးပါ။,استدر على جانبك أكثر نحوي.,请往我这边侧身一些。
help_me_if_baby_is_fussy,I will need your help if the baby gets fussy.,Voy a necesitar su ayuda si el bebé se pone inquieto.,Vou precisar da sua ajuda se o bebê ficar agitado.,Tôi sẽ cần quý vị giúp nếu em bé quấy khóc.,J'aurai besoin de votre aide si votre bébé manifeste de la nervosité.,아기가 보채면 보호자분의 도움이 필요합니다.,ህጻኑ ካስቸገረ የእርስዎን እርዳታ እፈልጋለሁ።,တကယ်လို့ ကလေးက အင်တင်တင်လုပ်နေရင် သင့်ရဲ့အကူအညီ လိုအပ်ပါမယ်။,سأحتاج إلى مساعدتك إذا أصبح الطفل متهيجًا.,如果宝宝开始哭闹，我将需要您的帮助。
feed_baby_I_will_scan,You can feed the baby while I scan.,Puede alimentar al bebé mientras hago la exploración (scan).,Pode alimentar o bebê enquanto eu faço o exame.,Quý vị có thể cho em bé ăn trong khi tôi chụp scan.,Vous pouvez nourrir votre bébé pendant que je fais l'examen.,제가 스캔하는 동안 아기에게 젖을 주실 수 있습니다.,በምቃኝበት ጊዜ ህጻኑን መመገብ ይችላሉ።,ကျွန်ုပ် လုပ်နေစဥ်မှာ သင် ကလေးကို နို့တိုက်နေနိုင်ပါတယ်။,يمكنك إطعام الطفل في أثناء إجراء الفحص.,当我进行扫描时，您可以给宝宝喂食。
can_have_pacifier,The baby can have a pacifier.,Le puede dar su chupón al bebé.,O bebê pode chupar a chupeta.,Có thể cho em bé ngậm vú giả.,Votre bébé peut avoir sa tétine.,아기에게 고무 젖꼭지를 물려도 됩니다.,ህጻኑ የእንጀራ እናት መጥባት ይችላል።,ကလေး နို့သီးခေါင်း စို့နေနိုင်ပါတယ်။,يمكن أن يحصل الطفل على لهاية.,宝宝可以含着安抚奶嘴。
hold_baby_i_will_scan,Please hold the baby while I scan.,Cargue al al bebé mientras hago la exploración (scan).,Segure o bebê enquanto faço o exame.,Vui lòng bồng em bé trong khi tôi chụp scan.,S'il vous plaît tenez votre bébé pendant que je fais l'examen.,제가 스캔하는 동안 아기를 잡고 계십시오.,እኔ በምቃኝበት ጊዜ እባክዎ ህጻኑን ይያዙት።,ကျွန်ုပ် လုပ်နေစဥ်မှာ ကလေးကို ကိုင်ထားပေးပါ။,يُرجى إمساك الطفل بينما أجري الفحص.,请在我进行扫描时抱住宝宝。
doctor_soon,The doctor will be in soon.,El médico vendrá pronto.,O médico chegará em breve.,Bác sĩ sẽ đến ngay.,Le médecin va bientôt arriver.,의사가 곧 올 것입니다.,ዶክትሩ በቅርቡ ይመጣል።,ဆရာဝန် မကြာမီ လာပါမယ်။,سيصل الطبيب بعد قليل.,医生很快就会过来。
do_you_have_ride_home,Do you have a ride home?,¿Tiene quién los lleve a casa?,Tem uma carona para casa?,Có ai chở quý vị về nhà không?,Avez-vous un moyen de transport pour rentrer chez vous?,집에 가실 교통편이 있습니까?,ወደ ቤት የሚወስድዎት መኪና አለ?,အိမ်ပြန်ဖို့ ကားရှိလား။,هل لديك وسيلة لإيصالك إلى المنزل؟,您怎么回家呢？有车载您回去吗？
will_call_medicaid_transportation,I will call Medicaid transportation.,Llamaré al servicio de transporte de Medicaid.,Vou ligar para o transporte do Medicaid.,Tôi sẽ gọi dịch vụ chuyên chở của Medicaid.,Je vais appeler le service de transport agréé Medicaid.,메디케이드(Medicaid) 교통편에 전화하겠습니다.,የ Medicaid መጓጓዣ እጠራለሁ።,Medicaid ကားနဲ့ပို့ပေးဖို့ ခေါ်ပေးပါမယ်။,سأتصل بخدمة النقل من Medicaid.,我可以为您联系医保内的交通服务。
medicaid_transportation_on_the_way,Medicaid transportation is on the way.,El servicio de transporte de Medicaid está en camino.,O transporte do Medicaid está a caminho.,Xe chuyên chở Medicaid đang trên đường đến.,Le service de transport Medicaid est en route.,메디케이드(Medicaid) 교통편이 오는 중입니다.,የ Medicaid መጓጓዣ እየመጣ ነው።,Medicaid ကားနဲ့ပို့ပေးဖို့ လာနေပါပြီ။,خدمة النقل من Medicaid في الطريق.,交通服务车正在过来的路上。
