Variable Names,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
do_you_have_money_for_food,Do you have money for food while your child is in the hospital?,¿Tiene dinero para comprar de comer mientras su niño está en el hospital?,Tem dinheiro para comprar comida enquanto a criança está no hospital?,Quý vị có tiền mua thức ăn trong thời gian em bé nằm bệnh viện không?,Avez-vous suffisamment d'argent pour acheter de la nourriture pendant que votre enfant est à l'hôpital ?,아이가 병원에 ​​있는 동안 음식을 드실 돈이 있으십니까?,ልጅዎ ሆስፒታል ውስጥ በሚሆንበት ጊዜ ለምግብ የሚሆን ገንዘብ አልዎት?,သင့်ကလေး ဆေးရုံမှာရှိနေစဥ်မှာ အစာစားဖို့ ငွေရှိလား။,هل لديك المال لشراء الطعام في أثناء وجود طفلك في المستشفى؟,在您孩子住院期间，您有钱吃饭吗？
please_fill_out_this_form,Please fill out this form.,Llene este formulario.,Preencha este formulário por favor.,Vui lòng điền mẫu đơn này.,Veuillez remplir ce formulaire.,이 양식을 기재해 주십시오.,እባክዎ ይህን ቅጽ ይሙሉ።,ဒီပုံစံကို ဖြည့်ပေးပါ။,يُرجى استكمال هذا النموذج.,请填写此表格。
are_you_able_to_obtain_medication,Are you able to obtain the medications your child needs?,¿Puede comprar los medicamentos que necesita su niño?,Tem condições de obter os medicamentos de que a criança precisa?,Quý vị có khả năng có được những thuốc em bé cần không?,Êtes-vous en mesure d'obtenir les médicaments dont votre enfant a besoin ?,아이에게 필요한 약을 구하실 수 있습니까?,ለልጅዎ የሚያስፈልገውን መድሃኒቶች ማግኘት ይችላሉ?,သင့်ကလေး လိုအပ်တဲ့ ဆေးတွေကို ရယူနိုင်သလား။,هل تستطيعين الحصول على الأدوية التي يحتاجها طفلك؟,您是否能够获得孩子需要的药物？
we_are_here_to_help_you,We are here to help and support you.,Estamos aquí para ayudarlo y darle apoyo.,Estamos aqui para ajudar e dar apoio.,Chúng tôi luôn sẵn lòng giúp đỡ và hỗ trợ quý vị.,Nous sommes là pour vous aider et vous accompagner.,저희가 귀하를 돕고 지원할 수 있습니다.,እርስዎን ለመርዳት እና ለመደገፍ በዚህ አለን።,သင့်ကို ကျွန်ုပ်တို့ ကူညီပံ့ပိုးပေးနိုင်ပါတယ်။,نحن هنا لمساعدتك ودعمك.,我们能够为您提供帮助和支持。
resources_to_assist_with_care,These are resources to assist with care when you are discharged.,Estos son los recursos que lo ayudarán con el cuidado de su niño al dársele de alta.,Estes são recursos para ajudar nos cuidados quando receber alta.,Đây là những nguồn trợ giúp để giúp chăm sóc khi quý vị xuất viện.,Voici des ressources qui vous aideront à prendre soin de votre enfant à sa sortie de l'hôpital.,이러한 자원들은 퇴원 시 도움이 되는 것들입니다.,እነዚህ ከሆስፒታል ሲወጡ እንክብካቤ ላይ የሚያግዙዎት ቁሳቁሶች ናቸው።,​ဆေးရုံဆင်းတဲ့အခါ ကူညီစောင့်ရှောက်ပေးဖို့ ရင်းမြစ်တွေရှိပါတယ်။,هذه موارد للمساعدة في الرعاية عند خروجك من المستشفى.,在您出院之后，这些资源能够帮助您进行护理。
list_of_lowcost_clinics,Here is a listing of pediatricians and low-cost clinics.,Esta es una lista de pediatras y clínicas de bajo costo.,Aqui está uma lista de pediatras e clínicas de baixo custo.,Dưới đây là danh sách các bác sĩ nhi khoa và y viện giá phải chăng. ,Voici une liste de pédiatres et de cliniques à tarif modéré.,다음은 소아과 의사들과 저렴한 진료소 목록입니다.,የሕጻናት ህክምና ስፔሻሊስቶች እና ዝቅተኛ ወጪ የሚጠይቁ ክሊኒኮች ዝርዝር አዝህ ነው።,ကလေးအထူးကုဆရာဝန်တွေ စာရင်းတစ်ခုနဲ့ စျေးနှုန်းချိုသာတဲ့ ဆေးခန်းတွေစာရင်း ဒီမှာပါ။,فيما يأتي قائمة بأطباء الأطفال والعيادات منخفضة التكلفة.,这是儿科医生和经济型诊所的名单列表。
do_you_have_insurance,Do you have insurance?,¿Tiene seguro?,Você tem plano de saúde?,Quý vị có bảo hiểm không?,Avez-vous une assurance maladie?,보험이 있으십니까?,መድህን አልዎት?,အာမခံ လုပ်ထားသလား။,هل لديك تأمين؟,您是否有保险？
does_the_patient_have_insurance,Does the patient have insurance?,¿Tiene seguro el paciente?,O paciente tem plano de saúde?,Bệnh nhân có bảo hiểm không?,Le patient ou la patiente a-t-il ou elle une assurance maladie?,환자에게 보험이 있습니까?,ታካሚው መድህን አለው?,လူနာမှာ အာမခံ ရှိသလား။,هل المريض لديه تأمين؟,患者是否有保险？
hospital_financial_counselor,Here is the phone number for the hospital financial counselor.,Este es el número de teléfono del asesor financiero del hospital.,Aqui está o telefone da consultoria financeira do hospital.,Đây là số điện thoại của cố vấn tài chánh của bệnh viện.,Voici le numéro de téléphone du conseiller financier de l'hôpital.,병원 재정 상담사의 전화번호는 다음과 같습니다.,የሆስፒታሉ የፋይናንስ አማካሪ ስልክ ቁጥር እዚህ ጋር አለ።,​ဆေးရုံ ငွေကြေးအကြံပေးသူရဲ့ ဖုန်းနံပါတ် ဒီမှာပါ။,هذا رقم هاتف المستشار المالي للمستشفى.,这是医院财务顾问的电话号码。
do_you_need_interpreter,Do you need an interpreter?,¿Necesita un intérprete?,Precisa de intérprete?,Quý vị có cần thông dịch viên không? ,Avez-vous besoin d'un interprète?,통역사가 필요하십니까?,አስተርጓሚ ይፈልጋሉ?,စကားပြန် လိုအပ်သလား။,هل تحتاجين إلى مترجم؟,您是否需要口译员？
would_you_like_an_interpreter,Would you like me to call an interpreter?,¿Quisiera que llame a un intérprete?,Quer que eu chame um intérprete?,Quý vị có muốn tôi gọi thông dịch viên không?,Voulez-vous que j'appelle un interprète?,제가 전화로 통역사를 부를까요?,ወደ አስተርጓሚ እንድደውል ይፈልጋሉ?,စကားပြန် ခေါ်ပေးချင်ပါသလား။,هل تودين أن أطلب لك مترجمًا؟,您是否需要我呼叫口译员？
has_doctor_called_with_updates,Has the doctor called you today with an update on your baby?,¿Le ha llamado hoy el médico para darle una actualización sobre su bebé?,O médico ligou hoje para saber como está o bebê?,Hôm nay bác sĩ có gọi cho quý vị để thông báo tin tức về bé không?,Le médecin vous a-t-il appelé aujourd'hui pour vous donner des nouvelles de votre bébé ?,오늘 의사가 아기에 관한 소식을 알려줬습니까?,ሐኪሙ ስለ ልጅዎ አዲስ ነገር ይዞ ዛሬ ደውሎልዎታል?,သင့်ကလေးငယ်နဲ့ပတ်သက်ပြီးပြောဆိုဖို့ ဒီနေ့ ဆရာဝန် ဖုန်းခေါ်ပါသလား။,هل اتصل بكِ الطبيب اليوم ليخبرك بآخر المستجدات بشأن طفلك؟,今天医生有没有打电话告知您宝宝的最新情况？
do_you_have_questions,Do you have any questions?,¿Tiene alguna pregunta?,Alguma pergunta?,Quý vị có thắc mắc gì không?,Avez-vous des questions?,질문이 있으십니까?,ማንኛውም ጥያቄዎች አልዎት?,​မေးစရာ ရှိပါသလား။,هل تودين طرح أي أسئلة؟,您是否有任何疑问？
speak_to_lactation_consultant,Do you want to speak with a lactation consultant (or nurse)?,¿Quiere hablar con un consejero (o enfermero) especializado en lactancia?,Quer falar com a consultoria de lactação (ou a enfermagem)?,Quý vị có muốn nói chuyện với chuyên viên cố vấn về nuôi con bằng sữa mẹ (hoặc y tá) không?,Voulez-vous parler à une consultante en lactation (ou à une infirmière) ?,수유 상담사 또는 간호사와 얘기하고 싶으십니까?,የጡት ወተት አማካሪ (ወይም ነርስ) ጋር ማውራት ይፈልጋሉ?,နို့ရည်အတတ်ပညာရှင်နဲ့ စကားပြောချင်သလား။,هل تودين التحدث مع استشاري الرضاعة (أو الممرضة)؟,您是否想要与哺乳顾问（或护士）交谈？
help_with_oral_care,Do you want to help with oral care?,¿Quiere ayudarnos con el cuidado bucal?,Quer ajudar com os cuidados bucais?,Quý vị có muốn giúp đỡ về chăm sóc răng miệng không?,Voulez-vous aider à faire les soins de la bouche?,구강 관리를 도와주시겠습니까?,የአፍ እንክብካቤ ላይ እርዳታ ይፈልጋሉ?,သွားကျန်းမာရေးနဲ့ပတ်သက်ပြီး အကူအညီလိုသလား။,هل تريدين المساعدة في العناية بالفم؟,您是否想要帮忙进行口腔护理？
want_to_change_diaper,Do you want to help change the diaper?,¿Quiere ayudarnos a cambiar el pañal?,Quer ajudar a trocar a fralda?,Quý vị có muốn giúp đỡ về việc thay tã không?,Voulez-vous aider à changer la couche?,기저기 교체를 도와주시겠습니까?,የዳይፐር አቀያየር ላይ እርዳታ ይፈልጋሉ?,​သေးခံ လဲဖို့ အကူအညီလိုသလား။,هل تريدين المساعدة في تغيير الحفاضة؟,您是否想要帮忙换尿布？
want_to_take_babys_temperature,Do you want to take the baby's temperature?,¿Quiere tomarle la temperatura a su bebé?,Quer tirar a temperatura do bebê?,Quý vị có muốn đo nhiệt độ của em bé không? ,Voulez-vous prendre la température de votre bébé?,아기의 체온 재기를 원하십니까?,የህጻኑን ሙቀት መለካት ይፈልጋሉ?,ကလေးကို အဖျားတိုင်းကြည့်ချင်သလား။,هل تريدين قياس درجة حرارة الطفل؟,您是否想要给宝宝量体温？
want_to_hold_baby,Do you want to hold your baby?,¿Quiere cargar a su bebé?,Quer segurar o bebê?,Quý vị có muốn bồng em bé không?,Voulez-vous tenir votre bébé dans vos bras?,아이를 안고 싶으십니까?,ልጅዎን መያዝ ይፈልጋሉ?,သင့်ကလေးကို ကိုင်ချင်သလား။,هل ترغبين في حمل طفلك؟,您是否想要抱抱您的宝宝？
hold_baby_skin_to_skin,Do you want to hold your baby skin to skin?,¿Quiere cargar a su bebé para que sienta su piel en contacto con la suya?,Quer segurar o bebê fazendo contato com a pele?,Quý vị có muốn bồng con theo kiểu da áp da không?,Voulez-vous tenir votre bébé peau contre peau?,서로 피부가 닿도록 아이를 안고 싶으십니까?,በአካል ለአካል ንክኪ ልጅዎን መያዝ ይፈልጋሉ?,သင်ကလေးကို အသားချင်းထိပြီးနေချင်သလား။,هل ترغبين في حمل طفلك ملامسًا لجلدك؟,您是否想要肌肤相亲地抱抱您的宝宝？
need_more_milk_bottles,Do you need more bottles for your milk for home?,¿Necesita más biberones para su leche en casa?,Precisa de mais mamadeiras para o leite em casa?,Quý vị có cần thêm bình sữa để dùng ở nhà không?,Avez-vous besoin de plus de biberons pour votre lait à la maison?,모유를 짜서 집에 가져가기 위해 병이 더 필요하십니까?,በቤትዎ ለወተት የሚሆኑ ብዙ ጠርሙሶች ይፈልጋሉ?,အိမ်အတွက် နို့ပုလင်း များများ လိုချင်ပါသလား။,هل تحتاجين إلى المزيد من زجاجات الحليب للمنزل؟,您是否需要带更多的瓶子装您的母乳回家？
baby_is_sleeping_ill_come_later,The baby is sleeping I'll come back later,El bebé está durmiendo. Volveré más tarde.,O bebê está dormindo. Volto mais tarde.,Em bé đang ngủ tôi sẽ trở lại sau,Votre bébé dort je reviendrai plus tard.,아기가 자고 있네요. 제가 이따가 다시 오겠습니다,ህጻኑ ተኝቷል በኋላ ተመልሼ እመጣለሁ,ကလေးအိပ်နေတယ်၊ နောက်မှပြန်လာပါမယ်။,الطفل نائم سأعود لاحقا,宝宝正在睡觉，我待会儿再过来
have_questions_about_today,Do you have any questions about what i did with your child today?,¿Tiene alguna pregunta sobre lo que hice hoy con su niño?,Alguma dúvida sobre o que fiz com a criança hoje?,Quý vị có thắc mắc về những gì tôi đã làm với em bé hôm nay không?,Avez-vous des questions sur ce que j'ai fait avec votre enfant aujourd'hui?,제가 오늘 귀하의 아이와 무엇을 했는지 궁금한 점이 있으십니까?,ዛሬ ህጻኑ ጋር ስላደረኩት ነገር ማንኛውም ዓይነት ጥያቄዎች አልዎት?,ဒီနေ့ သင့်ကလေးကို လုပ်ပေးတာနဲ့ပတ်သက်ပြီး မေးစရာများ ရှိပါသလား။,هل لديك أي أسئلة حول ما فعلته مع طفلك اليوم؟,对于我今天给孩子做的诊疗，您是否有任何疑问？
write_next_time_patient_will_eat,Write the next time patient will eat,Escriba la hora de la próxima vez que comerá el paciente.,Escreva a próxima vez que o paciente vai comer,Ghi ra lần tới bệnh nhân sẽ ăn,Écrivez la prochaine fois que le patient mangera.,환자의 다음 식사 시간을 적어주십시오,ታካሚው ቀጣይ የሚበላበትን ሰዓት ይጻፉ,လူနာ နောက်တစ်ကြိမ်စားမယ့်အချိန်ကိုရေးပါ,اكتب المرة القادمة التي سيأكل فيها المريض,请写下患者下次进食的时间
therapy_right_now,Is right now a good time for therapy?,¿Es este un buen momento para la terapia?,Agora é um bom momento para fazer a terapia?,Ngay bây giờ có đúng lúc để trị liệu không? ,Est-ce que maintenant est le bon moment pour le traitement?,지금 치료를 해도 되겠습니까?,ይህ  ሰዓት ለቴራፒ ምቹ ጊዜ ነው?,ကုထုံးလုပ်ဖို့ အခု အဆင်ပြေပါသလား။,هل الوقت مناسب الآن للعلاج؟,现在是否适合进行治疗？
therapy_in_morning,Do you prefer to have therapy in the morning?,¿Prefiere hacer la terapia en la mañana?,Prefere fazer terapia pela manhã?,Quý vị có muốn trị liệu vào buổi sáng không?,Préférez-vous que le traitement ait lieu le matin?,오전에 치료받기를 원하십니까?,ቴራፒ በጠዋት እንዲሰጥዎት ይመርጣሉ?,မနက်ပိုင်းမှာ ကုထုံးလုပ်ချင်ပါသလား။,هل تفضلين العلاج في الصباح؟,您是否更希望在上午接受治疗？
therapy_in_afternooon,Do you prefer to have therapy in the afternoon?,¿Prefiere hacer la terapia en la tarde?,Prefere fazer terapia à tarde?,Quý vị có muốn trị liệu vào buổi chiều không?,Préférez-vous que le traitement ait lieu l'après-midi?,오후에 치료받기를 원하십니까?,ቴራፒ ከሰዓት በኀላ እንዲሰጥዎት ይመርጣሉ?,​နေ့လည်ပိုင်းမှာ ကုထုံးလုပ်ချင်ပါသလား။,هل تفضلين العلاج في فترة ما بعد الظهر؟,您是否更希望在下午接受治疗？
see_how_child_plays,I'd like to see how your child plays,Quisiera ver cómo juega su niño.,Eu gostaria de ver como a criança brinca,Tôi muốn xem bé chơi như thế nào,J'aimerais voir comment votre enfant joue.,아이가 어떻게 노는지 보고 싶습니다,ልጅዎ እንዴት እንደሚጫወት ማየት እፈልጋለሁ,သင့််ကလေး ကစားနေတာကို ကြည့်ချင်ပါတယ်,أود أن أرى كيف يلعب طفلك,我想看看您的孩子如何玩耍
do_you need_help,Do you need help?,¿Necesita ayuda?,Precisa de ajuda?,Quý vị có cần giúp đỡ không? ,Avez-vous besoin d'aide?,도움이 필요하십니까?,እርዳታ ይፈልጋሉ?,အကူအညီ လိုပါသလား။,هل تحتاجين مساعدة؟,您是否需要帮助？
need_to_see_nurse,Do you need to see a nurse?,¿Necesita que venga un enfermero?,Precisa da enfermagem?,Quý vị có cần gặp y tá không?,Avez-vous besoin de voir une infirmière?,간호사가 필요하십니까?,ነርስ ማግኘት  ይፈልጋሉ?,သူနာပြုကို တွေ့ချင်ပါသလား။,هل تحتاجين لرؤية ممرضة؟,您是否需要去看一下护士？
use_mechanical_lift_to_move_child,Are you comfortable using the mechanical lift to move your child?,¿Se siente cómodo al usar el elevador mecánico para mover a su niño?,Você se sente à vontade para usar o elevador mecânico e transportar a criança?,Quý vị có thấy thoải mái khi sử dụng xe nâng cơ học để di chuyển em bé không?,Vous sentez-vous à l'aise pour utiliser le lève-personne mécanique pour déplacer votre enfant?,기계식 리프트로 아이를 옮기는 것이 편하신가요?,ልጅዎን ለማንቀሳቀስ የመካኒካል ሊፍቱን በመጠቀምዎ ምቾት ይሰማዎታል?,သင့်ကလေးကို ရွှေ့ပေးဖို့ ပင့်မစက်သုံးတာ အဆင်ပြေရဲ့လား။,هل لديك مشكلة في استخدام المصعد الميكانيكي لتحريك طفلك؟,您是否接受我们用机械升降机移动您的孩子？
interpreter_on_the_way,The interpreter is on their way,El intérprete está en camino.,O intérprete está a caminho,Người thông dịch đang trên đường đến ,L'interprète va arriver rapidement.,통역사가 오는 중입니다,አስተርጓሚው መንገድ ላይ ነው,စကားပြန် လာနေပါတယ်,المترجم قادم الآن,口译员正在过来的路上
had_liquids,Has your child had any milk or yogurt or orange juice or chicken broth?,¿Ha tomado su niño leche yogur jugo de naranja o caldo de pollo?,A criança tomou leite iogurte suco de laranja ou caldo de galinha?,Bé đã có uống sữa sữa chua nước cam hay nước súp gà gì không?,Votre enfant a-t-il bu du lait du jus d'orange du bouillon de poulet ou mangé du yaourt?,아이가 우유나 요구르트 오렌지 주스 또는 닭고기 국물을 먹은 적이 있습니까?,ልጅዎ ማንኛውንም ዓይነት ወተት ወይም እርጎ ወይም የብርቱካን ጭማቂ ወይም የዶሮ መረቅ ወስዶ ያውቃል?,သင့်ကလေး နို့၊ ဒိန်ချဥ်၊ လိမ္မော်ရည် ဒါမှမဟုတ် ကြက်စွပ်ပြုတ် သောက်ပြီးပြီလား။,هل تناول طفلك أي حليب أو زبادي أو عصير برتقال أو مرق دجاج؟,您的孩子喝了牛奶、酸奶、橙汁或鸡汤吗？
had_thickener,Did you give your baby any thickener?,¿Le dio algún espesante a su bebé?,Você deu algum espessante para o bebê?,Quý vị có đã cho bé uống chất làm đặc nào không?,Avez-vous donné à votre bébé un additif épaississant?,아기에게 증점제(식품의 점도를 증가시키는 첨가물 Thickener)를 주셨습니까?,ለልጅዎ ማንኛውንም ዓይነት የሰገራ ማወፈሪያ ሰጥተው ያውቃሉ? ,သင့်ကလေးကို ခပ်ပျစ်ပျစ် တစ်ခုခု တိုက်ပြီးပြီလား။,هل أعطيت طفلك أي مُكثف قوام؟,您给宝宝吃过增稠剂吗？
has_allergies,Does the child have any allergies?,¿Tiene su niño alguna alergia?,A criança tem alguma alergia?,Bé có bị dị ứng gì không?,L'enfant a-t-il des allergies?,아이에게 알레르기가 있습니까?,ልጁ የሆነ አለርጂ አለበት?,သင့်ကလေးမှာ ဓါတ်မတည့်မှု တစ်ခုခုရှိလား။,هل يعاني الطفل أي حساسية؟,孩子是否有过敏史？
has_fever,Is your child running a fever?,¿Tiene fiebre su niño?,A criança está com febre?,Bé có bị sốt không?,Votre enfant a-t-il ou elle de la fièvre?,아이에게 열이 있습니까?,ልጅዎ ትኩሳት አለው?,သင့်ကလေး အဖျားတက်နေသလား။,هل يعاني طفلك حُمى؟,您的孩子发烧了吗？
gone_to_washroom,Has your child gone to the washroom?,¿Ha ido al baño su niño?,A criança foi ao banheiro?,Bé đã đi vệ sinh chưa?,Votre enfant est-il ou elle allé aux toilettes?,아이가 화장실에 갔다 왔습니까?,ልጅዎ ወደ መታጠቢያ ክፍል ሄዶ ነበር?,သင့်ကလေး အိမ်သာ တက်လား။,هل ذهب طفلك إلى الحمام؟,您的孩子上厕所了吗？
how_long,For how long?,¿Hace cuánto?,Por quanto tempo?,Trong bao lâu? ,Pendant combien de temps est-il ou elle resté(e) aux toilettes?,얼마 동안 있었나요?,ለምን ያክል ጊዜ?,ဘယ်လောက်ကြာလဲ။,منذ متى؟,多久了？
has_vomitted,Has your child been vomiting?,¿Ha estado vomitando su niño?,A criança tem vomitado?,Bé có bị ói mửa không?,Votre enfant a-t-il ou elle vomi?,아이가 구토를 했습니까?,ልጅዎ እያስታወከ ነበር?,သင့်ကလေး အန်ပါသလား။,هل كان طفلك يتقيأ؟,您的孩子呕吐了吗？
will_tell_doctor,I will let the doctor know,Se lo informaré al médico.,Vou avisar o médico,Tôi sẽ cho bác sĩ biết,J'en informerai le médecin.,제가 의사에게 알리겠습니다,ለሐኪሙ እነግረዋለሁ,ဆရာဝန်ကို ပြောပြလိုက်ပါမယ်။,سأُبلغ الطبيب,我会告知医生的
is_everything_okay,Is everything okay?,¿Está todo bien?,Está tudo bem?,Mọi chuyện ổn chứ?,Est-ce que tout va bien?,괜찮습니까?,ሁሉም ሰላም ነው?,အဆင်ပြေရဲ့လား။,هل كل شيء على ما يرام؟,一切都还好吗？
bring_car_to_door,Bring your car up to the door,Traiga su vehículo hasta la puerta.,Traga o carro até a porta,Quý vị hãy lái xe đến tận cửa,Rapprochez votre voiture de la porte.,차를 문 앞으로 가져오십시오,መኪናዎን ወደ በሩ ያምጡ,ကားကို တံခါးနားအထိ မောင်းလာပါ။,أحضري سيارتك أمام الباب,请将车子开到门口
where_is_car,Do you remember where you parked your car?,¿Recuerda dónde estacionó su vehículo?,Você se lembra onde estacionou seu carro?,Quý vị có nhớ mình đã đậu xe ở đâu không?,Vous souvenez-vous de l'endroit où vous avez garé votre voiture?,차를 어디에 주차했는지 기억하십니까?,መኪናዎትን የት እንዳቆሙ ያስታውሳሉ?,ကားဘယ်မှာရပ်ထားလဲဆိုတာ မှတ်မိလား။,هل تتذكرين أين أوقفت سيارتك؟,您还记得您把车停在哪里了吗？
i_will_wait,I will wait with your child,Esperaré con su niño.,Eu fico aqui esperando com a criança,Tôi sẽ đợi cùng bé tại đây,Je vais attendre avec votre enfant.,제가 귀하의 자녀와 함께 기다리겠습니다,ከልጅዎ ጋር እጠብቅዎታለሁ,ကျွန်ုပ် သင့်ကလေးနဲ့အတူ စောင့်နေပါ့မယ်။,سأنتظر برفقة طفلك,我会和您的孩子一起等待
what_time,What time?,¿A qué hora?,A que horas?,Mấy giờ? ,A quelle heure?,몇 시에요?,ስንት ሰዓት?,ဘယ်အချိန်လဲ။,متى؟,什么时候？
come_this_way,Come this way,Venga por acá.,Venha por aqui,Đi lối này ,Venez par ici.,이쪽으로 오십시오,በዚህ በኩል ይምጡ,ဒီလမ်းအတိုင်း လာပါ။,من هذا الاتجاه,请往这边走
getting_operation_updates,Are you getting updates from the operation room?,¿Lo está manteniendo al día el personal del quirófano?,Está recebendo atualizações da sala de cirurgia?,Quý vị có nhận được thông tin cập nhật từ phòng giải phẫu không?,Avez-vous des nouvelles provenant de la salle d'opération?,수술실로부터 진행 상황에 대해 들으셨습니까?,ከቀዶ ጥገና ክፍል አዲስ መረጃዎች እያገኙ ነው?,ခွဲစိတ်ခန်းမှ နောက်ဆုံးသတင်း ရပါသလား။,هل تتلقين تحديثات من غرفة العمليات؟,手术室那边有给您什么新消息吗？
observer_in_room_okay,Is it okay to have an observer in the room?,¿Está bien que haya un observador en la habitación?,Um observador pode ficar na sala?,Quý vị cho phép có người quan sát trong phòng được không?,La présence d'un observateur dans la salle pose-t-elle un problème?,방에 참관하는 사람이 있어도 괜찮으십니까?,ክፍል ውስጥ ተመልካች ቢኖር ችግር አለው?,အခန်းထဲကို လိုက်ကြည့်ပေးမယ့်သူ လာနိုင်ပါသလား။,هل توجد مشكلة بتواجد متابع في الغرفة؟,房间里可以有观察员吗？
do_you_understand,Do you understand?,¿Entiende?,Está entendendo?,Quý vị hiểu không? ,Vous comprenez ce que je veux dire ?,이해하십니까?,ይገባዎታል?,နားလည်လား။,هل تعي ما أقول؟,您明白了吗？
you_cant_eat_this,You can't eat this,No puede comer esto,Não pode comer isso,Quý vị không thể ăn cái này ,Vous ne pouvez pas manger cela.,이걸 드시면 안 됩니다,ይህን መመገብ አይችሉም,ဒါ မစားနိုင်ပါဘူး။,لا يمكنك تناول هذا,您不能吃这个
my_name_is,My name is _________.,Mi nombre es ______________.,Meu nome é _________.,Tôi tên là _________.,Je m'appelle _________.,제 이름은 _________ 입니다.,ስሜ _________ ይባላል።,ကျွန်တော့်နာမည်______________ ဖြစ်ပါတယ်။,اسمي _________.,我的名字是 _________。
want_to_talk_to_social_worker,Do you want to talk to a social worker?,¿Quiere hablar con un trabajador social?,Quer falar com um assistente social?,Quý vị có muốn nói chuyện với nhân viên xã hội không? ,Voulez-vous parler à un(e) assistant(e) social(e)?,사회복지사와 얘기하고 싶으십니까?,ማህበራዊ ሰራተኛ ማነጋገር ይፈልጋሉ?,လူမှုလုပ်သားနဲ့ စကားပြောချင်ပါသလား။,هل تود التحدث إلى مسؤول خدمات اجتماعية؟,您想跟社工谈谈吗？
how_much_pee,How much did you pee?,¿Cuánto orinó?,Quanto você urinou?,Quý vị đã đi tiểu được bao nhiêu?,Quelle quantité de pipi avez-vous fait ?,소변을 얼마나 누셨나요?,ምን ያክል ሸንተዋል?,​သေး ဘယ်လောက်များများ ပေါက်လိုက်သလဲ။,كم مرة تبولت؟,您排了多少尿？
dont_toss_pee,Don't toss the pee we will take care of it,No bote la orina. Nosotros nos encargaremos de eso.,Não jogue o xixi fora. Nós cuidamos disso.,Đừng đổ nước tiểu đi chúng tôi sẽ lo việc đó,Ne tirez pas la chasse d'eau nous nous en occuperons.,소변을 치우지 마십시오. 저희가 처리하겠습니다,ሽንትዎን አይድፉት እኛ እንደሚሆን እናደርገዋለን,သေးကို သွန်မပစ်လိုက်ပါနဲ့၊ ကျွန်တော်တို့ စီမံပါ့မယ်။,لا تتخلص من البول، فسوف نتعامل معه,请不要乱扔尿液，我们会处理的
use_the_urinal,Make sure to use the urinal,Asegúrese de usar el orinal.,Lembre-se de usar o mictório,Xin nhớ dùng dụng cụ đi tiểu,Utilisez bien l'urinal.,꼭 소변기를 사용하십시오,የሽንት መሽኛ ዕቃውን መጠቀምዎን ያረጋግጡ,​သေးပေါက်တဲ့ ဇလားခွက်ထဲ ပေါက်ပါ,احرص على استخدام المبولة,请一定要使用小便池
call_me_to_check,Call me to check it,Llámeme para verificarlo.,Ligue para mim para verificar,Xin gọi tôi để tới kiểm tra ,Appelez-moi pour vérifier.,확인하시려면 저에게 전화를 주십시오,እንድመለከተው ይደውሉልኝ,စစ်ဆေးဖို့ ကျွန်တော့်ကို ခေါ်ပါ,اطلبني لتفقدها,请通知我来检查
